absmag,ci
4.85,0.656
15.447,1.807
5.739,0.9
4.379,0.71
13.235,1.57
16.557,2
10.46,1.502
15.473,1.85
15.603,
1.454,0.009
11.334,-0.03
13.006,1.51
14.786,1.9
6.183,0.881
9.773,1.483
13.491,1.746
15.004,1.98
12.008,1.561
7.488,1.069
12.981,
8.331,1.309
2.671,0.432
13.298,1.79
11.177,1.504
10.316,1.56
6.895,1.056
17.013,2.06
5.678,0.727
14.265,1.85
14.011,1.729
11.94,1.573
10.898,1.543
8.709,1.397
11.579,1.613
13.286,1.8
13.691,1.48
16.527,
13.042,1.69
13.632,
14.222,0.554
14.867,1.9
11.937,1.604
14.869,1.83
15.129,
10.373,1.462
12.641,1.67
14.029,1.8
15.66,1.82
17.322,2.1
10.87,1.505
11.094,1.553
13.182,0.196
10.428,0.455
13.729,1.524
11.805,1.597
15.39,1.98
15.042,1.9
15.642,1.98
13.832,
15.979,2.09
10.392,1.491
8.161,1.326
10.947,1.54
10.185,1.521
5.942,0.82
13.001,1.75
11.006,0.03
12.656,1.67
12.411,1.655
5.499,0.86
7.468,1.15
11.743,1.54
2.21,0.221
15.469,1.84
16.329,1.93
14.678,
11.002,
12.158,1.572
12.681,1.68
9.802,1.435
13.733,0.31
8.862,0.626
12.088,1.17
11.154,1.58
10.503,0.607
9.207,1.474
13.454,1.68
12.626,1.653
11.106,
17.986,1.99
9.35,1.487
5.87,0.786
11.208,1.57
8.819,1.41
12.732,1.675
11.921,1.66
6.888,1.024
10.277,1.464
18.676,2.2
13.252,1.6
9.146,1.519
10.445,1.524
5.464,0.855
8.636,1.39
4.586,0.587
12.315,1.6
7.45,1.144
10.427,1.485
10.097,1.46
6.185,0.85
6.424,0.868
5.354,0.711
12.591,
12.407,1.633
4.62,0.751
13.161,
15.208,0.4
14.268,
11.094,1.19
10.06,1.553
9.009,1.431
13.814,1.73
18.084,1.34
11.603,1.6
13.421,1.65
12.655,1.7
11.396,
8.672,1.42
13.546,1.62
15.399,1.05
11.06,1.591
14.732,1.88
6.49,1
10.912,1.525
7.84,1.16
11.198,1.62
5.406,0.72
12.595,1.7
13.681,1.77
12.49,1.679
12.287,
12.224,1.101
6.736,1.082
9.503,1.507
14.882,0.66
7.983,
11.023,1.57
9.309,1.483
10.404,1.507
6.509,0.918
13.455,1.69
12.371,1.6
15.399,1.96
14.168,1.83
13.068,1.71
14.668,
12.411,1.696
6.378,0.89
13.887,1.84
3.457,0.618
11.172,1.53
9.126,0.497
16.036,
5.855,0.836
14.244,1.79
11.609,
5.779,0.704
12.316,1.6
7.073,1.094
12.386,
9.63,1.493
0.604,-0.001
8.107,1.359
1.737,0.145
14.203,
15.381,1.93
9.921,1.508
12.785,1.75
